>>> Risultati di questa esecuzione salvati in: paper_plots\run_20260102_205857\run_20260102_212639\run_20260102_215531

==================================================
CONFIGURAZIONE ESPERIMENTO
==================================================
seq_length: 30
latent_dim: 10
hidden_dim: 32
batch_size: 296
epochs: 1000
annealing_epochs: 200
learning_rate: 0.0005
l2_reg: 0.01
data_path: dataset/log_returns.csv
plot_dir: paper_plots\run_20260102_205857\run_20260102_212639\run_20260102_215531
device: cpu
seed: 42
train_split: 0.7
dropout_rate: 0.1
free_bits: 2.0
gradient_clip: 2.5
==================================================

>>> 1. Loading Dataset...
--------------------------------------------------
Data Analysis Start Date: 2014-09-18
Data Analysis End Date:   2024-12-31
--------------------------------------------------
>>> 2. Starting Training Loop...
Epoch 0010 | Beta: 0.04 | Loss: 165.9222 | NLL: 161.4954 | KL: 98.3736
Epoch 0020 | Beta: 0.10 | Loss: 166.9768 | NLL: 159.5056 | KL: 78.6441
Epoch 0030 | Beta: 0.14 | Loss: 169.1434 | NLL: 157.9475 | KL: 77.2134
Epoch 0040 | Beta: 0.20 | Loss: 159.9308 | NLL: 143.4973 | KL: 84.2742
Epoch 0050 | Beta: 0.24 | Loss: 157.7650 | NLL: 137.5741 | KL: 82.4119
Epoch 0060 | Beta: 0.29 | Loss: 158.3443 | NLL: 134.3550 | KL: 81.3197
Epoch 0070 | Beta: 0.34 | Loss: 158.4155 | NLL: 129.9986 | KL: 82.3678
Epoch 0080 | Beta: 0.40 | Loss: 157.7563 | NLL: 124.1069 | KL: 85.1885
Epoch 0090 | Beta: 0.45 | Loss: 157.7676 | NLL: 118.5292 | KL: 88.1762
Epoch 0100 | Beta: 0.49 | Loss: 156.7378 | NLL: 110.9875 | KL: 92.4250
Epoch 0110 | Beta: 0.55 | Loss: 154.0394 | NLL: 102.4700 | KL: 94.6226
Epoch 0120 | Beta: 0.59 | Loss: 153.0015 | NLL: 94.7746 | KL: 97.8603
Epoch 0130 | Beta: 0.65 | Loss: 155.2372 | NLL: 91.7850 | KL: 98.3755
Epoch 0140 | Beta: 0.69 | Loss: 156.7977 | NLL: 88.0460 | KL: 98.9232
Epoch 0150 | Beta: 0.74 | Loss: 160.1725 | NLL: 86.4685 | KL: 98.9315
Epoch 0160 | Beta: 0.80 | Loss: 163.1277 | NLL: 84.8341 | KL: 98.4826
Epoch 0170 | Beta: 0.84 | Loss: 167.7009 | NLL: 84.5750 | KL: 98.3738
Epoch 0180 | Beta: 0.90 | Loss: 171.6971 | NLL: 84.0881 | KL: 97.8871
Epoch 0190 | Beta: 0.94 | Loss: 176.2880 | NLL: 84.3272 | KL: 97.3130
Epoch 0200 | Beta: 0.99 | Loss: 178.9486 | NLL: 82.7606 | KL: 96.6714
Epoch 0210 | Beta: 1.00 | Loss: 177.8503 | NLL: 80.6124 | KL: 97.2379
Epoch 0220 | Beta: 1.00 | Loss: 179.0972 | NLL: 82.0198 | KL: 97.0774
Epoch 0230 | Beta: 1.00 | Loss: 177.2451 | NLL: 79.4229 | KL: 97.8222
Epoch 0240 | Beta: 1.00 | Loss: 177.3667 | NLL: 78.8899 | KL: 98.4768
Epoch 0250 | Beta: 1.00 | Loss: 176.5600 | NLL: 78.3826 | KL: 98.1774
Epoch 0260 | Beta: 1.00 | Loss: 176.8626 | NLL: 79.5979 | KL: 97.2647
Epoch 0270 | Beta: 1.00 | Loss: 176.2460 | NLL: 78.3223 | KL: 97.9237
Epoch 0280 | Beta: 1.00 | Loss: 176.0494 | NLL: 77.6691 | KL: 98.3804
Epoch 0290 | Beta: 1.00 | Loss: 175.2881 | NLL: 76.4337 | KL: 98.8544
Epoch 0300 | Beta: 1.00 | Loss: 173.7456 | NLL: 74.6568 | KL: 99.0888
Epoch 0310 | Beta: 1.00 | Loss: 175.0562 | NLL: 75.6484 | KL: 99.4078
Epoch 0320 | Beta: 1.00 | Loss: 173.8209 | NLL: 74.3571 | KL: 99.4638
Epoch 0330 | Beta: 1.00 | Loss: 176.9376 | NLL: 78.0712 | KL: 98.8663
Epoch 0340 | Beta: 1.00 | Loss: 174.8862 | NLL: 74.9282 | KL: 99.9580
Epoch 0350 | Beta: 1.00 | Loss: 175.9002 | NLL: 76.3616 | KL: 99.5386
Epoch 0360 | Beta: 1.00 | Loss: 174.6835 | NLL: 73.8171 | KL: 100.8663
Epoch 0370 | Beta: 1.00 | Loss: 174.5660 | NLL: 74.6178 | KL: 99.9481
Epoch 0380 | Beta: 1.00 | Loss: 173.6285 | NLL: 74.1164 | KL: 99.5121
Epoch 0390 | Beta: 1.00 | Loss: 174.4726 | NLL: 74.1926 | KL: 100.2799
Epoch 0400 | Beta: 1.00 | Loss: 175.5457 | NLL: 75.5288 | KL: 100.0169
Epoch 0410 | Beta: 1.00 | Loss: 176.0861 | NLL: 75.8388 | KL: 100.2472
Epoch 0420 | Beta: 1.00 | Loss: 174.8959 | NLL: 74.7716 | KL: 100.1242
Epoch 0430 | Beta: 1.00 | Loss: 176.0680 | NLL: 75.3331 | KL: 100.7349
Epoch 0440 | Beta: 1.00 | Loss: 172.8010 | NLL: 71.8256 | KL: 100.9754
Epoch 0450 | Beta: 1.00 | Loss: 172.5797 | NLL: 71.4531 | KL: 101.1266
Epoch 0460 | Beta: 1.00 | Loss: 176.7675 | NLL: 76.5632 | KL: 100.2044
Epoch 0470 | Beta: 1.00 | Loss: 175.6750 | NLL: 75.1390 | KL: 100.5359
Epoch 0480 | Beta: 1.00 | Loss: 174.1756 | NLL: 73.3460 | KL: 100.8296
Epoch 0490 | Beta: 1.00 | Loss: 174.8086 | NLL: 73.8647 | KL: 100.9439
Epoch 0500 | Beta: 1.00 | Loss: 175.2042 | NLL: 75.2426 | KL: 99.9616
Epoch 0510 | Beta: 1.00 | Loss: 176.2141 | NLL: 74.7015 | KL: 101.5125
Epoch 0520 | Beta: 1.00 | Loss: 174.2572 | NLL: 73.7427 | KL: 100.5144
Epoch 0530 | Beta: 1.00 | Loss: 176.3492 | NLL: 75.2245 | KL: 101.1247
Epoch 0540 | Beta: 1.00 | Loss: 175.5216 | NLL: 74.3965 | KL: 101.1251
Epoch 0550 | Beta: 1.00 | Loss: 173.6582 | NLL: 72.3876 | KL: 101.2707
Epoch 0560 | Beta: 1.00 | Loss: 175.6988 | NLL: 74.5056 | KL: 101.1931
Epoch 0570 | Beta: 1.00 | Loss: 174.9171 | NLL: 74.1313 | KL: 100.7858
Epoch 0580 | Beta: 1.00 | Loss: 173.7306 | NLL: 72.9966 | KL: 100.7340
Epoch 0590 | Beta: 1.00 | Loss: 174.8092 | NLL: 73.5759 | KL: 101.2333
Epoch 0600 | Beta: 1.00 | Loss: 174.9661 | NLL: 72.8908 | KL: 102.0754
Epoch 0610 | Beta: 1.00 | Loss: 173.0019 | NLL: 72.2002 | KL: 100.8017
Epoch 0620 | Beta: 1.00 | Loss: 172.0187 | NLL: 70.2655 | KL: 101.7532
Epoch 0630 | Beta: 1.00 | Loss: 173.5745 | NLL: 71.2842 | KL: 102.2903
Epoch 0640 | Beta: 1.00 | Loss: 174.1109 | NLL: 72.6211 | KL: 101.4898
Epoch 0650 | Beta: 1.00 | Loss: 172.8650 | NLL: 70.4505 | KL: 102.4145
Epoch 0660 | Beta: 1.00 | Loss: 171.6274 | NLL: 69.3434 | KL: 102.2840
Epoch 0670 | Beta: 1.00 | Loss: 173.5688 | NLL: 71.1868 | KL: 102.3820
Epoch 0680 | Beta: 1.00 | Loss: 174.6943 | NLL: 72.6103 | KL: 102.0840
